block_type,block_type_name,inventory_item_type
0,None,0
1,SoilBlock,0
2,CaveWall,1
3,Bedrock,0
4,Granite,0
5,Sand,0
6,SandStone,0
7,Lava,0
8,Marble,0
9,Obsidian,0
10,Grass,0
11,Rose,0
12,Sunflower,0
13,Lily,0
14,Blueberry,6
15,MetalPlate,0
16,WoodenPlatform,0
17,Ice,0
18,Water,3
19,GreyBrick,0
20,RedBrick,0
21,YellowBrick,0
22,WhiteBrick,0
23,BlackBrick,0
24,WoodWall,0
25,WoodBlock,0
26,WoodenBackground,1
27,JungleGrass,0
28,MetalPlatform,0
29,Microwave,0
30,WoodenTable,0
31,Brazier,0
32,WindowFrame,1
33,GreenJello,0
34,YellowJello,0
35,BlueJello,0
36,RedJello,0
37,Tree,0
38,BasicFace,4
39,BasicEyebrows,4
40,BasicEyeballs,4
41,BasicPupil,4
42,BasicMouth,4
43,BasicLegs,4
44,BasicTorso,4
45,BasicTopArm,4
46,BasicBottomArm,4
47,BasicEyelashes,4
48,PantsBatman,4
49,ShoesBatman,4
50,WeaponClaymore,5
51,WeaponExecutionerAxe,5
52,WeaponKatana,5
53,WeaponPickAxe,5
54,WeaponPitchFork,5
55,WeaponShortSword,5
56,WeaponSpartanSword,5
57,WeaponWalkingCane,5
58,WeaponGunBeretta,5
59,SandyCaveWall,1
60,LunarSoil,0
61,MoonRock,0
62,MoonBackground,1
63,MartianSoil,0
64,MartianRock,0
65,MartianBackground,1
66,MagicStuff,0
67,QuickSand,3
68,RedWallpaper,1
69,RedBlock,0
70,YellowBlock,0
71,BlueBlock,0
72,WhiteBlock,0
73,BlackBlock,0
74,Sign,0
75,Mushroom,0
76,Door,0
77,StoneBackground,1
78,WoodPanel,0
79,LavaLamp,0
80,SmallChest,0
81,GreenBlock,0
82,PurpleBlock,0
83,OrangeBlock,0
84,LightBlueBlock,0
85,GreyBlock,0
86,PinkBlock,0
87,FlowerWallpaper,1
88,WoodenChair,0
89,Pineapple,6
90,Corn,0
91,Lantern,0
92,ClassicPainting,0
93,RubberDuck,0
94,IronBlock,0
95,ClearJello,0
96,Fireplace,0
97,ClayPot,0
98,Armchair,0
99,GlassDoor,0
100,FloorLamp,0
101,FruitTray,0
102,BrownBlock,0
103,Strawberry,6
104,Shoji,1
105,GardenGnome,0
106,Oven,0
107,Cabinet,0
108,OldTV,0
109,SpikeTrap,0
110,EntrancePortal,0
111,FireTrap,0
112,LEDSign,0
113,DungeonWall,1
114,DungeonDoor,0
115,RedBrickWallpaper,1
116,BrownBrickWallpaper,1
117,YellowBrickWallpaper,1
118,ClownWallpaper,1
119,IllusorySoilBlock,0
120,HugeMetalFan,0
121,Shrubbery,0
122,Tapestry,0
123,CastleWallpaper,1
124,CastleWall,0
125,CastleDoor,0
126,IronChandelier,0
127,Throne,0
128,GreekColumn,0
129,Fountain,0
130,Torch,0
131,TileWhite,1
132,Stereos,0
133,ExtraSpeaker,0
134,HotTub,0
135,Safe,0
136,ATM,0
137,CubistPainting,0
138,ModernPainting,0
139,ImperialWallpaper,1
140,GoldenToilet,0
141,ModernSculpture,0
142,GoldBlock,0
143,BlackLeatherChair,0
144,SellOMat,0
145,LightBlueWallpaper,1
146,Hummer,0
147,Sandbag,0
148,ArmyTent,0
149,PlywoodWallpaper,1
150,BarbedWire,0
151,Tracktor,0
152,Wheat,0
153,Scarecrow,0
154,BarnWall,0
155,BarnDoor,0
156,PicketFence,0
157,Hayblock,0
158,ShirtBatman,4
159,MaskBatman,4
160,CapeBatman,4
161,PantsSweat,4
162,ShoesBrown,4
163,ShoesRubberBootsYellow,4
164,GlassesBasic,4
165,GlassesNerdy,4
166,GlassesRed,4
167,GlassesWhite,4
168,GlassesSunBasic,4
169,BeardBasic,4
170,BeardGoatee,4
171,BeardLong,4
172,BeardBlack,4
173,HatAcademic,4
174,HatCapBlue,4
175,HatCapGreen,4
176,HatCapPink,4
177,HatCapRed,4
178,HatCapWhite,4
179,MaskExecutioner,4
180,HatFireFighter,4
181,HatGolfBeret,4
182,MaskMedievalKnight,4
183,HatNavy,4
184,HatNurse,4
185,MaskPaperBagBrown,4
186,HatPolice,4
